point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (CO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,NICE-COTE-D'AZUR,43.67,7.20972,85.0,718.826,,86.26
TOULOUSE-BLAGNAC,43.63,1.37,FIGARI-SUD-CORSE,41.5,9.09972,102.5,676.307,,81.16
LILLE-LESQUIN,50.56,3.08972,HYERES-LE-PALYVESTRE,43.1,6.15,100.0,862.312,,103.48
STRASBOURG-ENTZHEIM,48.53972,7.62972,PERPIGNAN-RIVESALTES,42.74,2.87,100.0,743.985,,89.28
PARIS-CHARLES-DE-GAULLE,49.00972,2.55,TAHITI-FAAA,-17.5525,-149.60722,1312.5,15731.143,,1887.74
PONTE-A-PITRE-LE-RAIZET,16.26472,-61.52556,CAYENNE-ROCHAMBEAU,4.82028,-52.36028,215.62,1620.271,,194.43
LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,LYON-SAINT-EXUPERY,45.72972,5.08,130.0,488.457,,58.61
NICE-COTE-D'AZUR,43.67,7.20972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,45.0,234.132,,28.1
AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,MARSEILLE-PROVENCE,43.43972,5.20972,48.17,338.988,,40.68
NICE-COTE-D'AZUR,43.67,7.20972,BASTIA-PORETTA,42.54972,9.48,45.0,222.677,,26.72
BASTIA-PORETTA,42.54972,9.48,MARSEILLE-PROVENCE,43.43972,5.20972,52.69,361.474,,43.38
CALVI-ST-CATHERINE,42.52,8.78972,MARSEILLE-PROVENCE,43.43972,5.20972,55.0,308.973,,37.08
CALVI-ST-CATHERINE,42.52,8.78972,NICE-COTE-D'AZUR,43.67,7.20972,39.24,181.329,,21.76
FIGARI-SUD-CORSE,41.5,9.09972,MARSEILLE-PROVENCE,43.43972,5.20972,67.5,385.481,,46.26
NICE-COTE-D'AZUR,43.67,7.20972,FIGARI-SUD-CORSE,41.5,9.09972,55.0,286.94,,34.43
TOULOUSE-BLAGNAC,43.63,1.37,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,85.0,635.981,,76.32
SAINT-DENIS-ROLAND-GARROS,-20.89,55.51639,DZAOUDZI-PAMANDZI,-12.80472,45.28111,130.0,1412.93,,169.55
RENNES-ST-JACQUES,48.07,-1.72972,STRASBOURG-ENTZHEIM,48.53972,7.62972,77.5,694.546,,83.35
LILLE-LESQUIN,50.56,3.08972,PAU-PYRENEES,43.38,-0.42,95.0,842.296,,101.08
METZ-NANCY-LORRAINE,48.97972,6.25,PAU-PYRENEES,43.38,-0.42,100.0,807.341,,96.88
STRASBOURG-ENTZHEIM,48.53972,7.62972,PAU-PYRENEES,43.38,-0.42,95.0,846.454,,101.57
STRASBOURG-ENTZHEIM,48.53972,7.62972,BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,100.0,904.537,,108.54
