point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
STRASBOURG-ENTZHEIM,48.53972,7.62972,CALVI-ST-CATHERINE,42.52,8.78972,87.5,676.153,163290.9,81.14
RENNES-ST-JACQUES,48.07,-1.72972,CALVI-ST-CATHERINE,42.52,8.78972,120.0,1028.164,248301.6,123.38
CAEN-CARPIQUET,49.17,-0.45,CALVI-ST-CATHERINE,42.52,8.78972,115.0,1028.759,248445.3,123.45
NANTES-ATLANTIQUE,47.15972,-1.61,CALVI-ST-CATHERINE,42.52,8.78972,105.0,968.613,233920.0,116.23
CALVI-ST-CATHERINE,42.52,8.78972,BORDEAUX-MERIGNAC,44.82972,-0.71972,100.0,807.064,194906.0,96.85
LYON-SAINT-EXUPERY,45.72972,5.08,CALVI-ST-CATHERINE,42.52,8.78972,79.0,464.143,112090.5,55.7
NANTES-ATLANTIQUE,47.15972,-1.61,HYERES-LE-PALYVESTRE,43.1,6.15,95.0,758.102,183081.6,90.97
CAEN-CARPIQUET,49.17,-0.45,NICE-COTE-D'AZUR,43.67,7.20972,95.0,847.897,204767.1,101.75
PAU-PYRENEES,43.38,-0.42,NICE-COTE-D'AZUR,43.67,7.20972,80.0,616.446,148871.7,73.97
HYERES-LE-PALYVESTRE,43.1,6.15,STRASBOURG-ENTZHEIM,48.53972,7.62972,82.5,616.285,148832.8,73.95
BREST-BRETAGNE,48.45,-4.41972,NICE-COTE-D'AZUR,43.67,7.20972,115.0,1042.424,251745.4,125.09
LILLE-LESQUIN,50.56,3.08972,PERPIGNAN-RIVESALTES,42.74,2.87,100.0,870.661,210264.6,104.48
QUIMPER-PLUGUFFAN,47.97972,-4.16972,NICE-COTE-D'AZUR,43.67,7.20972,102.5,1003.246,242283.9,120.39
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,NICE-COTE-D'AZUR,43.67,7.20972,60.0,397.719,96049.1,47.73
MARSEILLE-PROVENCE,43.43972,5.20972,LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,82.5,590.715,142657.7,70.89
LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,NICE-COTE-D'AZUR,43.67,7.20972,85.0,718.826,173596.5,86.26
TOULOUSE-BLAGNAC,43.63,1.37,FIGARI-SUD-CORSE,41.5,9.09972,102.5,676.307,163328.1,81.16
LILLE-LESQUIN,50.56,3.08972,HYERES-LE-PALYVESTRE,43.1,6.15,100.0,862.312,208248.3,103.48
STRASBOURG-ENTZHEIM,48.53972,7.62972,PERPIGNAN-RIVESALTES,42.74,2.87,100.0,743.985,179672.4,89.28
LA-ROCHELLE-ILE-DE-RE,46.17972,-1.2,LYON-SAINT-EXUPERY,45.72972,5.08,130.0,488.457,117962.4,58.61
NICE-COTE-D'AZUR,43.67,7.20972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,45.0,234.132,56542.9,28.1
AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,MARSEILLE-PROVENCE,43.43972,5.20972,48.17,338.988,81865.6,40.68
NICE-COTE-D'AZUR,43.67,7.20972,BASTIA-PORETTA,42.54972,9.48,45.0,222.677,53776.5,26.72
BASTIA-PORETTA,42.54972,9.48,MARSEILLE-PROVENCE,43.43972,5.20972,52.69,361.474,87296.0,43.38
CALVI-ST-CATHERINE,42.52,8.78972,MARSEILLE-PROVENCE,43.43972,5.20972,55.0,308.973,74617.0,37.08
CALVI-ST-CATHERINE,42.52,8.78972,NICE-COTE-D'AZUR,43.67,7.20972,39.24,181.329,43791.0,21.76
FIGARI-SUD-CORSE,41.5,9.09972,MARSEILLE-PROVENCE,43.43972,5.20972,67.5,385.481,93093.7,46.26
NICE-COTE-D'AZUR,43.67,7.20972,FIGARI-SUD-CORSE,41.5,9.09972,55.0,286.94,69296.0,34.43
TOULOUSE-BLAGNAC,43.63,1.37,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,85.0,635.981,153589.4,76.32
RENNES-ST-JACQUES,48.07,-1.72972,STRASBOURG-ENTZHEIM,48.53972,7.62972,77.5,694.546,167732.9,83.35
LILLE-LESQUIN,50.56,3.08972,PAU-PYRENEES,43.38,-0.42,95.0,842.296,203414.5,101.08
METZ-NANCY-LORRAINE,48.97972,6.25,PAU-PYRENEES,43.38,-0.42,100.0,807.341,194972.9,96.88
STRASBOURG-ENTZHEIM,48.53972,7.62972,PAU-PYRENEES,43.38,-0.42,95.0,846.454,204418.6,101.57
STRASBOURG-ENTZHEIM,48.53972,7.62972,BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,100.0,904.537,218445.7,108.54
